,candidate,cluster,interpretation,variables
0,candidate_0,cluster_0,Moderately Positive,"['scaledgoldsteinscale', 'phl_host', 'mca11']"
2,candidate_0,cluster_0,Weakly Negative,"['actorequivalentroles', 'mca8', 'mca37', 'mca39']"
3,candidate_0,cluster_0,Weakly Positive,"['avgtone', 'mca2', 'mca4', 'mca9']"
5,candidate_0,cluster_1,Weakly Negative,"['phl_host', 'mca1']"
6,candidate_0,cluster_1,Weakly Positive,['actorequivalentroles']
9,candidate_0,cluster_2,Weakly Negative,"['scaledgoldsteinscale', 'phl_host']"
10,candidate_0,cluster_2,Weakly Positive,['actorequivalentroles']
12,candidate_0,cluster_3,Weakly Negative,"['phl_host', 'mca4']"
13,candidate_0,cluster_4,Moderately Negative,['mca11']
14,candidate_0,cluster_4,Moderately Positive,"['phl_host', 'mca37']"
16,candidate_0,cluster_4,Strongly Negative,['scaledgoldsteinscale']
17,candidate_0,cluster_4,Weakly Negative,"['avgtone', 'actorequivalentroles', 'mca2', 'mca4', 'mca15', 'mca34']"
18,candidate_0,cluster_4,Weakly Positive,"['mca0', 'mca1', 'mca8', 'mca14', 'mca33', 'mca39']"
19,candidate_0,cluster_5,Moderately Negative,['phl_host']
20,candidate_0,cluster_5,Moderately Positive,['actorequivalentroles']
22,candidate_0,cluster_5,Weakly Negative,"['mca0', 'mca1']"
23,candidate_0,cluster_5,Weakly Positive,"['scaledgoldsteinscale', 'mca4']"
24,candidate_0,cluster_6,Moderately Positive,['actorequivalentroles']
26,candidate_0,cluster_6,Weakly Negative,"['mca0', 'mca1']"
27,candidate_0,cluster_6,Weakly Positive,['scaledgoldsteinscale']
29,candidate_0,cluster_7,Weakly Negative,['mca1']
30,candidate_0,cluster_7,Weakly Positive,['actorequivalentroles']
31,candidate_0,cluster_8,Moderately Negative,['phl_host']
33,candidate_0,cluster_8,Weakly Negative,['mca37']
34,candidate_0,cluster_8,Weakly Positive,"['scaledgoldsteinscale', 'mca11']"
36,candidate_0,cluster_9,Weakly Negative,"['scaledgoldsteinscale', 'phl_host']"
37,candidate_1,cluster_0,Moderately Positive,"['scaledgoldsteinscale', 'phl_host', 'mca11']"
39,candidate_1,cluster_0,Weakly Negative,"['actorequivalentroles', 'mca8', 'mca37', 'mca39']"
40,candidate_1,cluster_0,Weakly Positive,"['avgtone', 'mca2', 'mca4', 'mca9']"
